Tools,Vulnerability name,access_control,arithmetic,denial_service,reentrancy,unchecked_low_calls,bad_randomness,front_running,time_manipulation,short_addresses,Other,Ignore,Unnamed: 13
maian,is_lock_vulnerable,,,,,,,,,,True,,
maian,is_prodigal_vulnerable,True,,,,,,,,,,,
maian,is_suicidal_vulnerable,True,,,,,,,,,,,
manticore,Delegatecall to user controlled address,True,,,,,,,,,,,
manticore,Delegatecall to user controlled function,True,,,,,,,,,,,
manticore,INVALID instruction,,,,,,,,,,True,,
manticore,Potential reentrancy vulnerability,,,,True,,,,,,,,
manticore,Potentially reading uninitialized memory at instruction,,,,,,,,,,True,,
manticore,Potentially reading uninitialized storage,,,,,,,,,,True,,
manticore,Reachable ether leak to sender,True,,,,,,,,,,,
manticore,Reachable ether leak to sender via argument,True,,,,,,,,,,,
manticore,Reachable external call to sender,True,,,,,,,,,,,
manticore,Reachable external call to sender via argument,True,,,,,,,,,,,
manticore,Reachable SELFDESTRUCT,True,,,,,,,,,,,
manticore,Reentrancy multi-million ether bug,,,,True,,,,,,,,
manticore,Returned value at CALL instruction is not used,,,,,True,,,,,,,
manticore,Returned value at CALL instruction is not used,,,,,True,,,,,,,
manticore,Unsigned integer overflow at ADD instruction,,True,,,,,,,,,,
manticore,Unsigned integer overflow at MUL instruction,,True,,,,,,,,,,
manticore,Unsigned integer overflow at SUB instruction,,True,,,,,,,,,,
manticore,Warning BLOCKHASH instruction used,,,,,,,,,,True,,
manticore,Warning NUMBER instruction used,,,,,,,,,,True,,
manticore,Warning ORIGIN instruction used,True,,,,,,,,,,,
manticore,Warning TIMESTAMP instruction used,,,,,,,,True,,,,
mythril,Call data forwarded with delegatecall(),True,,,,,,,,,,,
mythril,DELEGATECALL to a user-supplied address,True,,,,,,,,,,,
mythril,Dependence on predictable environment variable,,,,,,True,,,,True,,
mythril,Dependence on predictable variable,,,,,,True,,True,,True,,
mythril,Ether send,True,,,,,,,,,,,
mythril,Exception state,,,,,,,,,,True,,
mythril,Integer Overflow,,True,,,,,,,,,,
mythril,Integer Underflow,,True,,,,,,,,,,
mythril,Message call to external contract,,,,True,,,,,,,,
mythril,Multiple Calls,,,True,,,,,,,,True,
mythril,State change after external call,,,,True,,,,,,,,
mythril,Transaction order dependence,,,,,,,True,,,,,
mythril,Unchecked CALL return value,,,,,True,,,,,,,
